,itemName,initial,timeOnMarket,priceIncrease,priceAvg,priceSD,maxPrice,maxIdx,minPrice,minIdx,swing,volAvg,volSD,slope,rr
49,Ballistic Mask,670.8710000000001,1018,-2306.849803237915,376.28609015946404,412.24429036124536,3671.275,3,58.601,639,3612.674,112.68498527968596,80.02287381699128,-0.9359299349408361,0.44600947112572076
50,Tracksuit Pants (Light Blue),3.147999999999996,815,-38.77918161010742,19.080526278570733,10.270252958708102,63.944,3,8.573,454,55.371,340.1421568627451,453.3150355526419,-0.029591235329460085,0.46064072367182224
51,Sneakers (White),-490.16499999999996,1011,-1775.044633544922,769.7987696036614,736.5811103594423,3014.309,99,34.924,635,2979.385,114.73715415019763,111.51997854921133,-2.200237050331468,0.7615126950098225
52,Floral Shirt,211.428,1018,-557.6810752563476,140.65188510043487,212.58001753141218,788.722,45,7.788745290756225,1005,780.9332547092438,246.95976447497546,281.0636452293691,-0.5506352752524898,0.5805637119233072
53,Rugged (Orange) - M416,143.07999999999993,775,-1172.738118171692,216.57257805713735,153.447720728218,1493.846,2,61.59028188502789,753,1432.255718114972,1009.3724226804123,898.38498091309,-0.1823885023514523,0.07089498351537735
54,BLUE SCHOOL UNIFORM SET (MALE),10249.241,1011,-4829.6320000000005,8915.512194594596,3155.3987632328585,23142.84,1,2728.432,168,20414.408,1.335135135135135,0.6625977607487865,-5.817893017702133,0.009695550687509534
55,Biker Pants (Gray),-401.58900000000017,857,-1814.586875,107.459982157745,140.19335225950854,1842.497,0,14.128,427,1828.3690000000001,41.14685314685315,37.31091406383839,-0.3495295279746453,0.3813340970371235
56,Vintage Polo Shirt,-4.186,815,-15.451049873352051,0.4791342418687601,0.8474197467463561,15.635,0,0.106,378,15.529,1101.390931372549,1249.2639844364028,-0.0011581838423670523,0.10364688714933318
57,FALL 2018 CRATE,3884.215,562,-4173.840878738403,30.455386053371026,415.9190668412595,8060.253,1,2.0514872198104857,470,8058.20151278019,3278.1350210970463,956.4979827746653,-0.3389337627716657,0.012433274167000602
58,Venetian - Mini14,963.8189999999995,172,3153.860140625,8380.812637310755,1326.4060988464005,10508.997,75,5625.045,0,4883.951999999999,20.213872832369944,21.86758451752793,19.897451635066957,0.5612267261843923
59,Combat Pants (Blue),-0.21999999999999886,1147,-28.723749149322508,1.2094404737589044,2.8816978885543345,35.182,6,0.152,769,35.03,1553.73606271777,2418.0276937462627,-0.00366140517684312,0.17729679562338482
60,Bloody Combat Pants,28.814999999999998,1018,-46.22773767089844,2.7334233494573534,6.231139646232545,76.178,2,0.365,669,75.813,504.810598626104,553.7177413102652,-0.00996255283306212,0.22119383079214505
61,Coat (Gray),15.663000000000011,815,-350.3145555725098,409.4274394980988,109.09673024428028,670.557,10,191.264,440,479.293,109.36764705882354,89.3054333390496,-0.353010970625942,0.5809668535285505
62,TRACKSUIT SET,-6156.851999999999,1011,-164.3889999999992,8752.862885542168,3488.460596721082,21829.287,2,2793.513,160,19035.774,1.4578313253012047,0.8544878663372119,-13.37885621659201,0.03377454432401368
63,Camo Combat Pants,-0.08200000000000007,815,-0.8372480163574219,0.4546426405640794,0.32804172516159663,1.991,69,0.145,413,1.846,1675.8995098039215,2907.5947912826296,-0.0007814914566313847,0.3149116403349369
64,Jungle Digital - M416,61.063999999999965,695,51.31700000000012,1206.0295,292.3983352692864,1710.882,2,1000.285,0,710.5970000000001,64.25,37.33882028131044,80.34840000000005,0.09438754439264
